"","Date","TDa","Volatility","Volume","Roll"
"183",2012-10-01,-0.649893007944264,1.87698,11552,0
"184",2012-10-02,1.21496293536681,0.9159,1600,0
"185",2012-10-03,-0.765852103653612,0.92166,5652,0
"186",2012-10-04,0.738241621119733,0.98852,1237,0
"187",2012-10-05,0.052090420025965,0.16984,552,0
"188",2012-10-08,-0.30957512880455,0.63425,1100,0
"189",2012-10-09,0.354063120140902,0.33894,2600,0
"190",2012-10-10,-0.356569918787386,0.92385,825,0
"191",2012-10-11,0.125092315883427,1.50533,2800,0
"192",2012-10-12,0.148828611069498,2.1587,6900,0
"193",2012-10-15,-0.682836287256974,1.20774,3800,0
"194",2012-10-16,0.455399470490533,1.18201,4859,0
"195",2012-10-17,0.10064625968155,0.63679,1364,0
"196",2012-10-18,-0.377698917778362,3.98295,5249,0
"197",2012-10-19,0.88614991848382,0.29125,2178,0
"198",2012-10-22,-0.663026308648841,7.79626,48497,0
"199",2012-10-23,-0.0666619172651398,1.11447,4270,0
"200",2012-10-24,-0.181098662056651,1.85874,20437,0
"201",2012-10-25,0.5225393187065,0.99777,1750,0
"202",2012-10-26,-0.286226120173807,0.09989,1410,0
"203",2012-10-31,-0.101667447482872,2.38532,17670,0
"204",2012-11-01,-0.178958990773149,1.20641,4127,0
"205",2012-11-02,1.34971811234523,1.17354,14876,0
"206",2012-11-05,-0.573952606470765,0.82953,11026,0
"207",2012-11-06,-0.921915252608192,1.32615,6910,0
"208",2012-11-07,1.40290624166863,3.53982,26615,0
"209",2012-11-08,-0.76511745898631,1.48833,6100,0
"210",2012-11-09,-0.251907189303832,1.55378,21221,0
"211",2012-11-12,0.110691950555668,2.45636,10856,0
"212",2012-11-13,-0.10858893523488,0.74851,5460,0
"213",2012-11-14,0.0664016129512646,0.72352,1400,0
"214",2012-11-15,-0.17449897446271,0.94135,788,0
"215",2012-11-16,-0.0398856143974007,1.70186,10944,0
"216",2012-11-19,0.102743086775236,0.6192,5744,0
"217",2012-11-20,0.370209096871213,1.32479,15428,0
"218",2012-11-21,-0.500665433007684,0.64516,4300,0
"219",2012-11-26,0.365293156231828,0.46846,18750,0
"220",2012-11-27,-0.0377965388742458,1.82648,16550,0
"221",2012-11-28,-0.223836411417737,1.45127,9554,0
"222",2012-11-29,-0.0337905983364329,0.84631,10140,0
"223",2012-11-30,0.307408014469928,1.76501,6578,0
"224",2012-12-03,-0.0787691870143629,1.5441,5210,0
"225",2012-12-04,0.0476584335399614,0.21368,400,0
"226",2012-12-05,0.0413996968661592,0.894,3000,0
"227",2012-12-06,-0.00988698017839756,0.89134,12435,0
"228",2012-12-07,-0.297591899484475,0.81026,3250,0
"229",2012-12-10,0.0945098417887364,0.73118,9587,0
"230",2012-12-11,-0.0887801589040622,2.19698,15414,0
"231",2012-12-12,0.346961278387039,1.38535,12144,0
"232",2012-12-13,-0.088013825985458,1.79453,15765,0
"233",2012-12-14,0.248305173035168,0.40062,1460,1
"234",2012-12-17,-0.419266710565581,0.95041,5843,0
"235",2012-12-18,0.16537400729721,1.03371,15850,0
"236",2012-12-19,0.0840974067316025,2.17293,8457,0
"237",2012-12-20,-0.14803572652762,0.93025,6175,0
"238",2012-12-21,0.308053385649552,0.82835,14204,0
"239",2012-12-24,-0.455398172897129,0.27642,8961,0
"240",2012-12-26,0.0791300752469772,10.3378,4620,0
"241",2012-12-27,0.419538410907586,0.89496,20110,0
"242",2012-12-28,-0.0822507708045878,1.6865,13100,0
"243",2012-12-31,0.0239433569195899,1.03143,27050,0
"244",2013-01-02,-0.637598091688947,9.18323,37493,0
"245",2013-01-03,0.426152013443684,0.96852,10752,0
"246",2013-01-04,0.0337621548639166,1.76298,10659,0
"247",2013-01-07,-0.0693713645894877,0.85462,12675,0
"248",2013-01-08,0.0868616567554837,1.05699,19574,0
"249",2013-01-09,0.294153914909969,2.06569,18690,0
"250",2013-01-10,-0.339783621477131,1.03296,17938,0
"251",2013-01-11,0.430301392261238,3.20655,19120,0
"252",2013-01-14,-0.0186014421229164,0.95999,15280,0
"253",2013-01-15,-0.075788567828627,2.25564,25001,0
"254",2013-01-16,0.632976788522835,4.18799,33062,0
"255",2013-01-17,-0.477135090801582,0.98499,18586,0
"256",2013-01-18,-0.549502855892886,3.68327,20116,0
"257",2013-01-22,0.0670818579746577,2.45515,28982,0
"258",2013-01-23,0.122792778033641,1.16548,10776,0
"259",2013-01-24,-0.455750480925547,1.10476,19068,0
"260",2013-01-25,0.27979049804679,0.85633,9000,0
"261",2013-01-28,-0.280894014000476,0.94964,18401,0
"262",2013-01-29,0.323917829573725,0.56102,4694,0
"263",2013-01-30,0.888025730666459,1.72173,12585,0
"264",2013-01-31,-0.57456310571655,0.89665,14100,0
"265",2013-02-01,-0.447636219343455,2.89387,18427,0
"266",2013-02-04,-0.098902118221427,1.03632,10505,0
"267",2013-02-05,0.531656152007999,1.06854,12928,0
"268",2013-02-06,-0.72484759098497,1.80351,13989,0
"269",2013-02-07,0.0975071202652396,0.88714,8800,0
"270",2013-02-08,0.596241653168367,1.71604,19875,0
"271",2013-02-11,-0.424836093471438,1.6074,11967,0
"272",2013-02-12,-0.062747638338486,1.5707,29185,0
"273",2013-02-13,0.467705491237111,1.65078,62251,0
"274",2013-02-14,0.0849448616342393,1.64537,21665,0
"275",2013-02-15,-0.0682394488445565,1.39721,29050,0
"276",2013-02-19,-0.663230943532788,2.44149,44966,0
"277",2013-02-20,0.32918625069943,1.55936,61591,0
