" Date","SPY Open","SPY Low","SPY High","SPY Close","SPY Adj. Close","SPY SMA (50D)","SPY SMA (200D)"
12-17-2014,"175.56 ","175.43 ","179.01 ","201.79 ","178.52 ","177.37 ","171.58 "
12-16-2014,"175.68 ","175.05 ","179.06 ","197.91 ","175.09 ","177.22 ","171.51 "
12-15-2014,"178.69 ","175.86 ","179.18 ","199.51 ","176.51 ","177.19 ","171.45 "
12-12-2014,"179.28 ","177.69 ","180.32 ","200.89 ","177.73 ","177.13 ","171.37 "
12-11-2014,"180.37 ","180.22 ","182.42 ","204.19 ","180.65 ","177.02 ","171.30 "
12-10-2014,"182.17 ","179.53 ","182.23 ","203.16 ","179.74 ","176.84 ","171.20 "
12-09-2014,"180.81 ","180.40 ","182.78 ","206.47 ","182.66 ","176.74 ","171.11 "
12-08-2014,"183.59 ","182.19 ","184.12 ","206.61 ","182.79 ","176.58 ","171.01 "
12-05-2014,"183.90 ","183.62 ","184.43 ","208.00 ","184.02 ","176.42 ","170.90 "
12-04-2014,"183.61 ","182.87 ","184.25 ","207.66 ","183.72 ","176.22 ","170.78 "
12-03-2014,"183.40 ","183.22 ","184.15 ","207.89 ","183.92 ","176.07 ","170.66 "
12-02-2014,"182.08 ","182.06 ","183.43 ","207.09 ","183.21 ","175.90 ","170.54 "
12-01-2014,"182.60 ","181.70 ","182.73 ","205.76 ","182.04 ","175.76 ","170.43 "
11-28-2014,"183.57 ","183.05 ","183.90 ","207.20 ","183.31 ","175.67 ","170.32 "
11-26-2014,"183.39 ","183.16 ","183.81 ","207.64 ","183.70 ","175.56 ","170.21 "
11-25-2014,"183.61 ","182.96 ","183.83 ","207.11 ","183.23 ","175.42 ","170.08 "
11-24-2014,"183.28 ","183.05 ","183.48 ","207.26 ","183.36 ","175.29 ","169.96 "
11-21-2014,"183.70 ","182.23 ","183.88 ","206.68 ","182.85 ","175.12 ","169.83 "
11-20-2014,"180.71 ","180.64 ","181.99 ","205.58 ","181.88 ","174.97 ","169.70 "
11-19-2014,"181.64 ","180.74 ","181.85 ","205.22 ","181.56 ","174.86 ","169.56 "
11-18-2014,"180.87 ","180.87 ","182.18 ","205.55 ","181.85 ","174.76 ","169.42 "
11-17-2014,"180.35 ","180.17 ","180.99 ","204.37 ","180.81 ","174.63 ","169.27 "
11-14-2014,"180.57 ","180.23 ","180.91 ","204.24 ","180.69 ","174.55 ","169.13 "
11-13-2014,"180.62 ","179.78 ","181.21 ","204.19 ","180.65 ","174.47 ","169.00 "
11-12-2014,"179.90 ","179.87 ","180.69 ","203.96 ","180.44 ","174.39 ","168.88 "
11-11-2014,"180.53 ","180.17 ","180.75 ","204.18 ","180.63 ","174.31 ","168.75 "
11-10-2014,"179.93 ","179.71 ","180.51 ","203.98 ","180.46 ","174.23 ","168.63 "
11-07-2014,"179.74 ","179.25 ","180.13 ","203.34 ","179.90 ","174.15 ","168.51 "
11-06-2014,"179.05 ","178.39 ","179.82 ","203.15 ","179.73 ","174.08 ","168.39 "
11-05-2014,"179.19 ","178.22 ","179.23 ","202.34 ","179.01 ","174.01 ","168.29 "
11-04-2014,"178.03 ","176.99 ","178.36 ","201.07 ","177.89 ","173.96 ","168.20 "
11-03-2014,"178.64 ","178.09 ","179.11 ","201.77 ","178.51 ","173.93 ","168.11 "
10-31-2014,"178.52 ","177.62 ","178.55 ","201.66 ","178.41 ","173.87 ","168.02 "
10-30-2014,"174.80 ","174.64 ","176.90 ","199.38 ","176.39 ","173.81 ","167.93 "
10-29-2014,"175.66 ","174.11 ","176.16 ","198.11 ","175.27 ","173.79 ","167.85 "
10-28-2014,"174.13 ","174.05 ","175.54 ","198.41 ","175.53 ","173.78 ","167.78 "
10-27-2014,"173.16 ","172.54 ","173.80 ","196.16 ","173.54 ","173.74 ","167.69 "
10-24-2014,"172.74 ","172.07 ","173.84 ","196.43 ","173.78 ","173.72 ","167.63 "
10-23-2014,"172.18 ","171.86 ","173.58 ","194.93 ","172.45 ","173.69 ","167.56 "
10-22-2014,"171.99 ","170.40 ","172.44 ","192.69 ","170.47 ","173.67 ","167.50 "
10-21-2014,"169.58 ","169.40 ","171.81 ","194.07 ","171.69 ","173.67 ","167.45 "
10-20-2014,"166.44 ","166.39 ","168.49 ","190.30 ","168.36 ","173.65 ","167.39 "
10-17-2014,"166.70 ","165.99 ","167.87 ","188.47 ","166.74 ","173.69 ","167.34 "
10-16-2014,"161.95 ","161.80 ","165.95 ","186.27 ","164.79 ","173.72 ","167.31 "
10-15-2014,"163.81 ","160.95 ","166.05 ","186.43 ","164.94 ","173.80 ","167.29 "
10-14-2014,"166.70 ","165.47 ","167.93 ","187.70 ","166.06 ","173.89 ","167.27 "
10-13-2014,"168.50 ","165.70 ","169.11 ","187.41 ","165.80 ","173.98 ","167.24 "
10-10-2014,"170.47 ","168.53 ","171.32 ","190.54 ","168.57 ","174.05 ","167.21 "
10-09-2014,"173.69 ","170.38 ","173.93 ","192.74 ","170.52 ","174.08 ","167.17 "
10-08-2014,"171.07 ","170.18 ","174.22 ","196.64 ","173.97 ","174.14 ","167.11 "
10-07-2014,"172.76 ","170.94 ","173.15 ","193.26 ","170.98 ","174.13 ","167.03 "
10-06-2014,"174.59 ","173.03 ","174.82 ","196.29 ","173.66 ","174.20 ","166.96 "
10-03-2014,"173.12 ","172.59 ","174.23 ","196.52 ","173.86 ","174.20 ","166.88 "
10-02-2014,"171.79 ","170.17 ","172.57 ","194.38 ","171.97 ","174.23 ","166.79 "
10-01-2014,"174.02 ","171.55 ","174.08 ","194.35 ","171.94 ","174.28 ","166.71 "
09-30-2014,"174.90 ","173.94 ","175.44 ","197.02 ","174.30 ","174.34 ","166.62 "
09-29-2014,"173.58 ","173.45 ","175.07 ","197.54 ","174.76 ","174.33 ","166.52 "
09-26-2014,"174.02 ","173.77 ","175.52 ","197.90 ","175.08 ","174.31 ","166.42 "
09-25-2014,"176.09 ","173.64 ","176.10 ","196.34 ","173.70 ","174.26 ","166.33 "
09-24-2014,"175.21 ","174.75 ","176.67 ","199.56 ","176.55 ","174.27 ","166.25 "
09-23-2014,"175.55 ","175.13 ","176.29 ","198.01 ","175.18 ","174.21 ","166.15 "
09-22-2014,"177.25 ","175.82 ","177.28 ","199.15 ","176.19 ","174.19 ","166.05 "
09-19-2014,"178.29 ","177.20 ","178.62 ","200.70 ","177.56 ","174.13 ","165.95 "
09-18-2014,"177.31 ","177.09 ","177.75 ","201.82 ","177.72 ","174.03 ","165.85 "
09-17-2014,"176.80 ","175.90 ","177.60 ","200.75 ","176.78 ","173.95 ","165.74 "
09-16-2014,"174.89 ","174.80 ","176.86 ","200.48 ","176.54 ","173.87 ","165.64 "
09-15-2014,"175.38 ","174.69 ","175.52 ","198.98 ","175.22 ","173.82 ","165.55 "
09-12-2014,"176.21 ","174.85 ","176.22 ","199.13 ","175.35 ","173.81 ","165.45 "
09-11-2014,"175.47 ","175.34 ","176.41 ","200.30 ","176.38 ","173.77 ","165.36 "
09-10-2014,"175.62 ","175.03 ","176.29 ","200.07 ","176.18 ","173.72 ","165.26 "
09-09-2014,"176.48 ","175.16 ","176.60 ","199.32 ","175.52 ","173.64 ","165.16 "
09-08-2014,"176.93 ","176.12 ","177.18 ","200.59 ","176.64 ","173.58 ","165.06 "
09-05-2014,"176.27 ","175.60 ","177.16 ","201.11 ","177.09 ","173.49 ","164.95 "
09-04-2014,"176.86 ","175.82 ","177.51 ","200.21 ","176.30 ","173.39 ","164.85 "
09-03-2014,"177.33 ","176.31 ","177.36 ","200.50 ","176.56 ","173.29 ","164.75 "
09-02-2014,"176.97 ","175.99 ","176.99 ","200.61 ","176.65 ","173.21 ","164.64 "
08-29-2014,"176.51 ","175.96 ","176.76 ","200.71 ","176.74 ","173.13 ","164.53 "
08-28-2014,"175.76 ","175.58 ","176.35 ","200.14 ","176.24 ","173.04 ","164.42 "
