Date,Close,Open,Low,High
23-Nov-2018,42.066,42.398,42.061,42.398
21-Nov-2018,42.398,42.287,42.184,42.520
20-Nov-2018,42.269,42.358,42.185,42.450
19-Nov-2018,42.372,42.752,42.162,42.811
16-Nov-2018,42.773,42.721,42.510,42.897
15-Nov-2018,42.662,42.780,42.603,43.054
14-Nov-2018,42.642,42.518,42.506,42.760
13-Nov-2018,42.511,42.977,42.483,43.065
12-Nov-2018,43.008,42.866,42.760,43.076
09-Nov-2018,42.876,43.192,42.776,43.192
08-Nov-2018,43.220,43.248,42.778,43.562
07-Nov-2018,43.314,43.232,43.211,43.488
06-Nov-2018,43.307,43.459,43.169,43.587
05-Nov-2018,43.484,43.737,43.353,43.739
02-Nov-2018,43.677,43.266,43.233,43.794
01-Nov-2018,43.388,42.528,42.510,43.585
31-Oct-2018,42.560,42.535,42.278,42.626
30-Oct-2018,42.574,42.827,42.500,42.998
29-Oct-2018,42.938,43.610,42.912,43.668
26-Oct-2018,43.328,43.058,43.041,43.506
25-Oct-2018,42.916,43.281,42.840,43.394
24-Oct-2018,43.389,43.694,43.352,43.836
23-Oct-2018,43.751,43.682,43.479,43.915
22-Oct-2018,43.743,43.853,43.723,44.016
19-Oct-2018,43.873,43.964,43.824,44.157
18-Oct-2018,44.031,44.366,44.001,44.516
17-Oct-2018,44.529,44.274,44.231,44.650
16-Oct-2018,44.338,44.628,44.257,44.640
15-Oct-2018,44.704,43.807,43.716,44.711
12-Oct-2018,43.844,43.398,43.383,43.855
11-Oct-2018,43.240,42.869,42.679,43.629
10-Oct-2018,42.970,43.353,42.843,43.370
09-Oct-2018,43.330,43.415,43.192,43.499
08-Oct-2018,43.440,43.435,43.231,43.526
05-Oct-2018,43.340,43.047,42.851,43.363
04-Oct-2018,42.943,42.860,42.761,43.165
03-Oct-2018,42.828,43.104,42.814,43.224
02-Oct-2018,43.002,42.333,42.223,43.078
01-Oct-2018,42.344,41.785,41.675,42.531
28-Sep-2018,41.741,42.086,41.646,42.231
27-Sep-2018,42.019,41.797,41.761,42.123
26-Sep-2018,41.916,42.080,41.837,42.156
25-Sep-2018,41.973,41.858,41.749,42.326
24-Sep-2018,41.965,41.971,41.838,42.098
21-Sep-2018,42.074,41.906,41.771,42.092
20-Sep-2018,41.987,41.337,41.277,42.147
19-Sep-2018,41.414,40.922,40.893,41.435
18-Sep-2018,40.847,41.233,40.752,41.312
17-Sep-2018,41.216,41.688,41.202,41.693
14-Sep-2018,41.739,41.859,41.580,41.933
13-Sep-2018,41.771,42.133,41.699,42.184
12-Sep-2018,42.137,42.386,41.840,42.690
11-Sep-2018,42.427,42.945,42.360,42.974
10-Sep-2018,42.831,42.379,42.367,42.840
07-Sep-2018,42.436,42.242,42.166,42.507
06-Sep-2018,42.299,42.553,42.195,42.565
05-Sep-2018,42.436,42.761,42.413,42.800
04-Sep-2018,42.640,42.637,42.075,42.707
31-Aug-2018,42.703,42.262,42.217,42.739
30-Aug-2018,42.151,42.454,41.933,42.532
29-Aug-2018,42.250,41.967,41.900,42.443
28-Aug-2018,41.933,42.441,41.911,42.587
27-Aug-2018,42.458,42.508,42.198,42.689
24-Aug-2018,42.657,42.526,42.510,42.922
23-Aug-2018,42.543,43.089,42.530,43.184
22-Aug-2018,43.035,43.503,43.013,43.591
21-Aug-2018,43.579,43.774,43.546,43.911
20-Aug-2018,43.896,44.461,43.814,44.562
17-Aug-2018,44.316,44.221,44.006,44.573
16-Aug-2018,44.233,43.731,43.731,44.461
15-Aug-2018,43.561,44.134,43.515,44.143
14-Aug-2018,44.142,43.723,43.636,44.143
13-Aug-2018,43.656,43.729,43.256,43.753
10-Aug-2018,43.947,45.242,43.933,45.323
09-Aug-2018,45.317,45.644,45.235,45.682
08-Aug-2018,45.552,45.555,45.440,45.752
07-Aug-2018,45.491,45.598,45.393,45.889
06-Aug-2018,45.445,45.088,44.999,45.502
03-Aug-2018,45.155,45.040,44.689,45.313
02-Aug-2018,44.964,45.035,44.837,45.726
01-Aug-2018,44.986,45.345,44.917,45.481
31-Jul-2018,45.492,44.966,44.818,45.679
30-Jul-2018,44.941,44.687,44.585,45.217
27-Jul-2018,44.447,44.386,44.271,44.666
26-Jul-2018,44.400,44.936,44.293,45.176
25-Jul-2018,44.519,43.806,43.694,44.612
24-Jul-2018,43.697,43.534,43.410,43.908
23-Jul-2018,43.718,43.719,43.626,43.949
20-Jul-2018,43.706,43.371,43.283,43.753
19-Jul-2018,43.264,42.986,42.792,43.318
18-Jul-2018,43.030,43.281,42.930,43.321
17-Jul-2018,43.071,43.024,42.804,43.278
16-Jul-2018,42.748,42.536,42.356,43.182
13-Jul-2018,42.656,42.881,42.264,42.980
12-Jul-2018,42.942,42.803,42.428,43.137
11-Jul-2018,42.594,43.280,42.577,43.401
10-Jul-2018,43.634,43.971,43.389,43.971
09-Jul-2018,43.961,44.290,43.776,44.336
06-Jul-2018,44.595,43.359,43.155,44.669
05-Jul-2018,43.386,43.311,43.292,43.746
03-Jul-2018,43.324,43.238,43.232,43.617
02-Jul-2018,43.168,44.469,43.150,44.576
29-Jun-2018,44.375,44.038,44.027,44.795
28-Jun-2018,44.012,44.279,43.999,44.461
27-Jun-2018,44.369,44.478,44.322,44.775
26-Jun-2018,44.411,44.527,44.199,44.894
25-Jun-2018,44.553,44.882,44.445,44.993
22-Jun-2018,45.345,45.041,45.001,45.438
