Date,NAV,Price
2014-01-02,34.164,34.23
2014-01-03,33.63366,33.75
2014-01-06,33.44257,33.57
2014-01-07,33.52799,33.58
2014-01-08,33.05018,33.16
2014-01-09,32.8179,33.08
2014-01-10,33.19265,33.19
2014-01-13,32.85469,32.81
2014-01-14,33.12911,33.04
2014-01-15,33.68912,33.77
2014-01-16,33.59937,33.65
2014-01-17,33.77388,33.69
2014-01-20,33.77388,33.69
2014-01-21,33.90752,33.99
2014-01-22,34.53541,34.56
2014-01-23,34.745,34.72
2014-01-24,34.50163,34.58
2014-01-27,34.17131,34.23
2014-01-28,34.77409,34.69
2014-01-29,34.75564,34.73
2014-01-30,35.06556,34.95
2014-01-31,34.80092,34.8
2014-02-03,34.42077,34.52
2014-02-04,34.69129,34.74
2014-02-05,34.75859,34.71
2014-02-06,34.92231,34.9
2014-02-07,35.64961,35.64
2014-02-10,35.69404,35.63
2014-02-11,35.68228,35.64
2014-02-12,35.853,35.8
2014-02-13,35.89912,35.87
2014-02-14,35.92711,35.91
2014-02-17,35.92711,35.91
2014-02-18,36.63175,36.66
2014-02-19,36.89664,36.9
2014-02-20,36.86396,36.88
2014-02-21,36.66614,36.69
2014-02-24,36.88715,36.79
2014-02-25,36.53148,36.59
2014-02-26,36.80362,36.75
2014-02-27,36.73502,36.69
2014-02-28,36.80266,36.74
2014-03-03,37.63678,37.52
2014-03-04,37.06586,37.06
2014-03-05,36.39091,36.24
2014-03-06,36.42983,36.57
2014-03-07,36.7906,36.78
2014-03-10,36.27399,36.3
2014-03-11,35.90464,35.81
2014-03-12,35.21478,35.35
2014-03-13,35.30782,35.34
2014-03-14,35.53062,35.53
2014-03-17,35.18974,35.15
2014-03-18,35.64326,35.58
2014-03-19,35.7471,35.71
2014-03-20,35.6491,35.58
2014-03-21,35.85021,35.84
2014-03-24,35.89879,35.82
2014-03-25,35.75052,35.77
2014-03-26,36.1357,36.09
2014-03-27,36.50277,36.5
2014-03-28,36.64276,36.62
2014-03-31,36.60856,36.59
2014-04-01,35.94472,35.83
2014-04-02,35.90099,35.8
2014-04-03,36.14186,36.14
2014-04-04,36.4476,36.43
2014-04-07,36.19351,36.28
2014-04-08,36.95695,36.9
2014-04-09,37.31272,37.22
2014-04-10,37.22639,37.2
2014-04-11,37.32126,37.18
2014-04-14,37.53339,37.38
2014-04-15,37.45636,37.39
2014-04-16,37.46668,37.48
2014-04-17,37.58965,37.66
2014-04-18,37.58965,37.66
2014-04-21,37.68894,37.64
2014-04-22,36.99739,37.0
2014-04-23,36.88416,36.91
2014-04-24,37.06523,37.05
2014-04-25,36.57736,36.6
2014-04-28,36.66291,36.71
2014-04-29,36.82232,36.72
2014-04-30,36.26172,36.32
2014-05-01,36.14483,36.16
2014-05-02,36.2679,36.29
2014-05-05,36.16438,36.14
2014-05-06,36.17109,36.19
2014-05-07,36.63625,36.6
2014-05-08,36.46541,36.49
2014-05-09,36.37648,36.4
2014-05-12,36.60468,36.59
2014-05-13,37.01065,37.04
2014-05-14,37.26277,37.18
2014-05-15,37.03858,37.04
2014-05-16,37.20284,37.23
2014-05-19,37.39511,37.38
2014-05-20,37.47491,37.52
2014-05-21,38.11146,37.98
2014-05-22,37.98986,38.01
2014-05-23,38.21263,38.18
2014-05-26,38.21263,38.18
2014-05-27,38.12179,38.14
2014-05-28,37.61214,37.68
2014-05-29,37.9264,37.91
2014-05-30,37.60638,37.68
2014-06-02,37.517,37.53
2014-06-03,37.58592,37.64
2014-06-04,37.57785,37.51
2014-06-05,37.51858,37.55
2014-06-06,37.58379,37.61
2014-06-09,38.21389,38.18
2014-06-10,38.18325,38.28
2014-06-11,38.22243,38.25
2014-06-12,39.01809,39.08
2014-06-13,39.16134,39.12
2014-06-16,39.20733,39.17
2014-06-17,39.04812,38.99
2014-06-18,38.94429,39.01
2014-06-19,39.11329,39.13
2014-06-20,39.40028,39.32
2014-06-23,39.15505,39.16
2014-06-24,39.10231,39.09
2014-06-25,39.27502,39.29
2014-06-26,39.03099,38.97
2014-06-27,38.9935,38.98
2014-06-30,38.85522,38.88
2014-07-01,38.84361,38.86
2014-07-02,38.52585,38.4
2014-07-03,38.37038,38.25
2014-07-04,38.37038,38.25
2014-07-07,38.17255,38.17
2014-07-08,38.12388,38.18
2014-07-09,37.7194,37.69
2014-07-10,37.95667,37.9
2014-07-11,37.17821,37.16
2014-07-14,37.24248,37.32
2014-07-15,36.88979,36.88
2014-07-16,37.28586,37.31
2014-07-17,37.87837,37.83
2014-07-18,37.78502,37.72
2014-07-21,38.1204,38.1
2014-07-22,37.94556,37.95
2014-07-23,38.2155,38.16
2014-07-24,37.82574,37.82
2014-07-25,37.83251,37.77
2014-07-28,37.6749,37.64
2014-07-29,37.41495,37.39
2014-07-30,37.15511,36.92
2014-07-31,36.37645,36.315
2014-08-01,36.26846,36.19
2014-08-04,36.4188,36.48
2014-08-05,36.08102,36.16
2014-08-06,35.91013,35.95
2014-08-07,36.06768,36.16
2014-08-08,36.15197,36.12
2014-08-11,36.29312,36.22
2014-08-12,36.01942,35.99
2014-08-13,36.11595,36.02
2014-08-14,35.12201,35.11
2014-08-15,35.58442,35.44
2014-08-18,34.99679,35.06
2014-08-19,34.66393,34.71
2014-08-20,34.88378,34.86
2014-08-21,35.07363,35.09
2014-08-22,34.9574,34.96
2014-08-25,34.84384,34.87
2014-08-26,35.03369,35.04
2014-08-27,35.0407,35.03
2014-08-28,35.29027,35.32
2014-08-29,35.81485,35.76
2014-09-01,35.81485,35.76
2014-09-02,34.66435,34.79
2014-09-03,35.65657,35.55
2014-09-04,35.24925,35.3
2014-09-05,34.81584,34.9
2014-09-08,34.57937,34.7
2014-09-09,34.58852,34.62
2014-09-10,34.18846,34.26
2014-09-11,34.58357,34.69
2014-09-12,34.3981,34.38
2014-09-15,34.63002,34.56
2014-09-16,35.31475,35.25
2014-09-17,35.08449,35.01
2014-09-18,34.62477,34.62
2014-09-19,34.50008,34.57
2014-09-22,34.20507,34.19
2014-09-23,34.46436,34.44
2014-09-24,34.93068,35.0
2014-09-25,34.82867,34.83
2014-09-26,35.20838,35.16
2014-09-29,35.59467,35.52
2014-09-30,34.31079,34.41
2014-10-01,34.1485,34.15
2014-10-02,34.25345,34.37
2014-10-03,33.77509,33.77
2014-10-06,33.99953,34.04
2014-10-07,33.43834,33.44
2014-10-08,32.87043,33.0
2014-10-09,32.28734,32.11
2014-10-10,32.30811,32.18
2014-10-13,32.25684,31.99
2014-10-14,30.82165,30.85
2014-10-15,30.72255,30.67
2014-10-16,31.10544,31.1
2014-10-17,31.14671,31.25
2014-10-20,31.08862,31.14
2014-10-21,31.30828,31.3
2014-10-22,30.56014,30.55
2014-10-23,31.15549,31.06
2014-10-24,30.74527,30.88
2014-10-27,30.74021,30.64
2014-10-28,30.89915,30.82
2014-10-29,31.19472,31.23
2014-10-30,30.78437,30.76
2014-10-31,30.56381,30.63
2014-11-03,29.8948,29.76
2014-11-04,29.29111,29.3
2014-11-05,29.85612,29.95
2014-11-06,29.56354,29.6
2014-11-07,29.84241,29.76
2014-11-10,29.372,29.34
2014-11-11,29.56178,29.42
2014-11-12,29.28746,29.14
2014-11-13,28.15201,28.29
2014-11-14,28.78181,28.83
2014-11-17,28.71932,28.679
2014-11-18,28.33176,28.2
2014-11-19,28.27828,28.25
2014-11-20,28.79018,28.73
2014-11-21,29.0403,29.1
2014-11-24,28.76198,28.74
2014-11-25,28.12018,28.03
2014-11-26,27.96792,27.9
2014-11-27,27.96792,27.9
2014-11-28,25.10456,25.58
2014-12-01,26.18595,26.315
2014-12-02,25.38108,25.58
2014-12-03,25.57051,25.58
2014-12-04,25.35383,25.34
2014-12-05,24.98533,24.96
2014-12-08,23.92911,23.91
2014-12-09,24.22008,24.2
2014-12-10,23.14533,23.28
2014-12-11,22.77739,22.68
2014-12-12,21.97864,21.93
2014-12-15,21.28913,21.06
2014-12-16,21.28882,21.3
2014-12-17,21.48898,21.34
2014-12-18,20.56894,20.74
2014-12-19,21.61681,21.96
2014-12-22,20.90842,20.92
2014-12-23,21.61184,21.56
2014-12-24,21.12727,21.05
2014-12-25,21.12727,21.05
2014-12-26,20.70656,20.78
2014-12-29,20.28184,20.3
2014-12-30,20.47453,20.293
2014-12-31,20.15267,20.36
2015-01-01,20.15267,20.36
2015-01-02,19.93271,19.89
2015-01-05,18.92938,18.79
2015-01-06,18.13093,18.05
2015-01-07,18.39233,18.369
2015-01-08,18.45541,18.55
2015-01-09,18.3324,18.28
2015-01-12,17.49644,17.41
2015-01-13,17.40266,17.62
2015-01-14,18.31914,18.27
2015-01-15,17.48448,17.45
2015-01-16,18.38215,18.33
2015-01-19,18.38215,18.33
2015-01-20,17.38579,17.48
2015-01-21,17.87562,17.77
2015-01-22,17.32538,17.41
2015-01-23,17.05572,17.0
2015-01-26,16.89033,16.87
2015-01-27,17.29406,17.21
2015-01-28,16.62791,16.56
2015-01-29,16.65759,16.68
2015-01-30,18.04492,17.82
2015-02-02,18.54195,18.62
2015-02-03,19.84341,19.62
2015-02-04,18.12251,18.28
2015-02-05,18.88156,19.03
2015-02-06,19.33389,19.47
2015-02-09,19.76848,19.77
2015-02-10,18.73194,18.94
2015-02-11,18.30341,18.51
2015-02-12,19.17768,19.18
2015-02-13,19.73261,19.62
2015-02-16,19.73261,19.62
2015-02-17,19.95949,19.79
2015-02-18,19.41881,19.26
2015-02-19,19.05459,19.1
2015-02-20,18.67932,18.65
2015-02-23,18.17861,18.11
2015-02-24,18.11588,18.04
2015-02-25,18.74419,18.65
2015-02-26,17.70729,18.03
2015-02-27,18.29134,18.1
2015-03-02,18.22839,18.32
2015-03-03,18.56999,18.49
2015-03-04,18.94101,19.01
2015-03-05,18.65772,18.71
2015-03-06,18.23477,18.24
2015-03-09,18.35783,18.35
2015-03-10,17.76054,17.91
2015-03-11,17.73534,17.77
2015-03-12,17.41898,17.44
2015-03-13,16.68481,16.8001
2015-03-16,16.35442,16.35
2015-03-17,16.02089,15.96
2015-03-18,16.53827,16.76
2015-03-19,16.14095,16.08
2015-03-20,16.50941,16.43
2015-03-23,16.8207,16.78
2015-03-24,16.84173,16.79
2015-03-25,17.44411,17.36
2015-03-26,18.23075,18.21
2015-03-27,17.32299,17.14
2015-03-30,17.25479,17.23
2015-03-31,16.87174,16.84
2015-04-01,17.75411,17.58
2015-04-02,17.41716,17.56
2015-04-03,17.41716,17.56
2015-04-06,18.47953,18.43
2015-04-07,19.13144,19.06
2015-04-08,17.89333,18.07
2015-04-09,18.06507,18.03
2015-04-10,18.40315,18.41
2015-04-13,18.48096,18.5
2015-04-14,18.86937,18.82
2015-04-15,19.83889,19.71
2015-04-16,19.98306,19.94
2015-04-17,19.71108,19.84
2015-04-20,19.90287,19.89
2015-04-21,19.46585,19.45
2015-04-22,19.31087,19.36
2015-04-23,19.85392,19.76
2015-04-24,19.65078,19.67
2015-04-27,19.595,19.52
2015-04-28,19.61881,19.6
2015-04-29,20.14118,20.12
2015-04-30,20.50194,20.51
2015-05-01,20.33664,20.4
2015-05-04,20.26009,20.28
2015-05-05,20.76522,20.76
2015-05-06,20.94324,20.82
2015-05-07,20.2491,20.2
2015-05-08,20.39591,20.42
2015-05-11,20.37426,20.38
2015-05-12,20.86404,20.74
2015-05-13,20.77929,20.61
2015-05-14,20.55936,20.53
2015-05-15,20.45771,20.52
2015-05-18,20.35555,20.44
2015-05-19,19.59499,19.63
2015-05-20,19.92922,19.84
2015-05-21,20.51689,20.5
2015-05-22,20.17866,20.25
2015-05-25,20.17866,20.25
2015-05-26,19.60653,19.69
2015-05-27,19.43058,19.48
2015-05-28,19.48778,19.56
2015-05-29,20.3722,20.31
2015-06-01,20.33808,20.36
2015-06-02,20.69591,20.68
2015-06-03,20.14832,20.17
2015-06-04,19.59402,19.66
2015-06-05,19.9755,19.9
2015-06-08,19.64022,19.71
2015-06-09,20.3137,20.21
2015-06-10,20.73349,20.64
2015-06-11,20.52602,20.49
2015-06-12,20.25026,20.27
2015-06-15,20.11537,20.15
2015-06-16,20.26593,20.26
2015-06-17,20.22542,20.21
2015-06-18,20.38936,20.36
2015-06-19,20.10414,20.02
2015-06-22,20.24082,20.16
2015-06-23,20.45177,20.47
2015-06-24,20.20341,20.21
2015-06-25,20.01207,19.98
2015-06-26,19.98834,19.98
2015-06-29,19.5518,19.51
2015-06-30,19.93353,19.88
2015-07-01,19.09194,19.1
2015-07-02,19.08164,18.93
2015-07-03,19.08164,18.93
2015-07-06,17.60587,17.73
2015-07-07,17.53861,17.76
2015-07-08,17.31532,17.38
2015-07-09,17.69345,17.71
2015-07-10,17.68682,17.67
2015-07-13,17.5161,17.51
2015-07-14,17.77176,17.72
2015-07-15,17.20992,17.23
2015-07-16,17.02693,17.05
2015-07-17,17.01674,16.99
2015-07-20,16.76021,16.69
2015-07-21,16.89954,16.91
2015-07-22,16.34443,16.34
2015-07-23,16.09833,16.14
2015-07-24,15.99511,16.03
2015-07-27,15.7453,15.65
2015-07-28,15.94107,15.85
2015-07-29,16.20991,16.24
2015-07-30,16.11996,16.1
2015-07-31,15.65462,15.59
2015-08-03,15.00615,15.1
2015-08-04,15.19536,15.22
2015-08-05,14.99915,15.03
2015-08-06,14.83614,14.87
2015-08-07,14.5785,14.56
2015-08-10,14.97214,14.89
2015-08-11,14.37468,14.49
2015-08-12,14.41983,14.44
2015-08-13,14.08217,14.09
2015-08-14,14.12457,13.99
2015-08-17,13.89469,13.89
2015-08-18,14.12714,14.05
2015-08-19,13.52085,13.43
2015-08-20,13.53703,13.37
2015-08-21,13.25185,13.23
2015-08-24,12.52732,12.49
2015-08-25,12.87771,12.73
2015-08-26,12.64496,12.77
2015-08-27,13.942,13.95
2015-08-28,14.81311,14.88
2015-08-31,16.11628,15.89
2015-09-01,14.87458,14.81
2015-09-02,15.14947,15.09
2015-09-03,15.31301,15.34
2015-09-04,15.08352,15.08
2015-09-07,15.08352,15.08
2015-09-08,15.04675,15.02
2015-09-09,14.46181,14.51
2015-09-10,15.0157,14.93
2015-09-11,14.59907,14.65
2015-09-14,14.36203,14.39
2015-09-15,14.54611,14.57
2015-09-16,15.35727,15.36
2015-09-17,15.25686,15.23
2015-09-18,14.55201,14.62
2015-09-21,15.17855,15.05
2015-09-22,14.98444,14.92
2015-09-23,14.37659,14.44
2015-09-24,14.51536,14.59
2015-09-25,14.77049,14.72
2015-09-28,14.35937,14.38
2015-09-29,14.61773,14.61
2015-09-30,14.57227,14.68
2015-10-01,14.45893,14.58
2015-10-02,14.71721,14.77
2015-10-05,14.94928,15.0
2015-10-06,15.68261,15.74
2015-10-07,15.45778,15.57
2015-10-08,15.97442,16.04
2015-10-09,16.02338,15.99
2015-10-12,15.21372,15.31
2015-10-13,15.0665,15.06
2015-10-14,15.0695,15.05
2015-10-15,14.9766,15.13
2015-10-16,15.24798,15.22
2015-10-19,14.78723,14.83
2015-10-20,14.7902,14.73
2015-10-21,14.44172,14.43
2015-10-22,14.49902,14.51
2015-10-23,14.24962,14.27
2015-10-26,14.05094,14.01
2015-10-27,13.80155,13.82
2015-10-28,14.67673,14.69
2015-10-29,14.71486,14.63
2015-10-30,14.88376,14.81
2015-11-02,14.7396,14.75
2015-11-03,15.30163,15.28
2015-11-04,14.79669,14.85
2015-11-05,14.43871,14.48
2015-11-06,14.14784,14.23
2015-11-09,14.01891,14.08
2015-11-10,14.12224,14.09
2015-11-11,13.73028,13.76
2015-11-12,13.36615,13.35
2015-11-13,13.046,13.06
2015-11-16,13.29087,13.39
2015-11-17,12.95522,13.01
2015-11-18,13.02959,13.05
2015-11-19,12.95798,12.96
2015-11-20,13.01371,12.93
2015-11-23,12.96661,13.02
2015-11-24,13.3143,13.32
2015-11-25,13.36691,13.39
2015-11-26,13.36691,13.39
2015-11-27,12.95347,13.03
2015-11-30,12.93432,12.93
2015-12-01,12.99626,12.95
2015-12-02,12.40294,12.48
2015-12-03,12.75677,12.77
2015-12-04,12.41192,12.46
2015-12-07,11.69099,11.72
2015-12-08,11.63618,11.68
2015-12-09,11.53799,11.56
2015-12-10,11.44149,11.37
2015-12-11,11.08952,11.07
2015-12-14,11.19328,11.16
2015-12-15,11.46404,11.4
2015-12-16,10.93996,10.99
2015-12-17,10.79693,10.74
2015-12-18,10.73427,10.66
2015-12-21,10.65945,10.66
2015-12-22,10.75755,10.77
2015-12-23,11.16225,11.26
2015-12-24,11.34071,11.3
2015-12-25,11.34071,11.3
2015-12-28,10.95618,10.93
2015-12-29,11.27157,11.26
2015-12-30,10.89343,10.93
2015-12-31,11.02426,11.0
2016-01-01,11.02426,11.0
2016-01-04,10.94041,10.98
2016-01-05,10.70519,10.66
2016-01-06,10.10993,10.11
2016-01-07,9.90211,9.9
2016-01-08,9.86075,9.8
2016-01-11,9.34197,9.25
2016-01-12,9.05412,9.17
2016-01-13,9.01666,9.09
2016-01-14,9.22338,9.23
2016-01-15,8.72921,8.79
2016-01-18,8.72921,8.79
2016-01-19,8.49327,8.49
2016-01-20,8.14278,8.24
2016-01-21,8.48159,8.56
2016-01-22,9.24548,9.27
2016-01-25,8.71381,8.54
2016-01-26,9.0325,8.97
2016-01-27,9.27652,9.18
2016-01-28,9.54065,9.7
2016-01-29,9.65541,9.65
2016-02-01,9.08096,9.02
2016-02-02,8.58115,8.57
2016-02-03,9.27033,9.34
2016-02-04,9.10941,9.12
2016-02-05,8.87096,8.91
2016-02-08,8.52606,8.64
2016-02-09,8.02068,8.18
2016-02-10,7.93904,7.96
2016-02-11,7.68222,7.9923
2016-02-12,8.50241,8.33
2016-02-15,8.50241,8.33
2016-02-16,8.25159,8.31
2016-02-17,8.78711,8.78
2016-02-18,8.77371,8.66
2016-02-19,8.45923,8.55
2016-02-22,8.89594,8.91
2016-02-23,8.49091,8.48
2016-02-24,8.56543,8.59
2016-02-25,8.81046,8.8
2016-02-26,8.73312,8.78
2016-02-29,8.9913,9.0
2016-03-01,9.16442,9.15
2016-03-02,9.23349,9.3
2016-03-03,9.20944,9.25
2016-03-04,9.569,9.65
2016-03-07,10.09629,10.11
2016-03-08,9.72729,9.65
2016-03-09,10.17416,10.15
2016-03-10,10.01609,10.04
2016-03-11,10.19095,10.19
2016-03-14,9.87291,9.88
2016-03-15,9.67966,9.7
2016-03-16,10.16763,10.18
2016-03-17,10.5895,10.55
2016-03-18,10.45723,10.48
2016-03-21,10.55355,10.59
2016-03-22,10.5357,10.54
2016-03-23,10.11368,10.11
2016-03-24,10.02972,10.06
2016-03-25,10.02972,10.06
2016-03-28,10.01161,10.01
2016-03-29,9.72943,9.8
2016-03-30,9.73953,9.73
2016-03-31,9.74454,9.7
2016-04-01,9.35051,9.3292
2016-04-04,9.07329,9.08
2016-04-05,9.12154,9.13
2016-04-06,9.59425,9.6
2016-04-07,9.47022,9.51
2016-04-08,10.08982,10.03
2016-04-11,10.2701,10.28
2016-04-12,10.70011,10.64
2016-04-13,10.57949,10.51
2016-04-14,10.49578,10.465
2016-04-15,10.25956,10.25
2016-04-18,10.13141,10.17
2016-04-19,10.44616,10.44
2016-04-20,10.86666,10.775
2016-04-21,10.62058,10.71
2016-04-22,10.75578,10.76
2016-04-25,10.48746,10.55
2016-04-26,10.83175,10.81
2016-04-27,11.14895,11.14
2016-04-28,11.32104,11.22
2016-04-29,11.2938,11.3
2016-05-02,11.01327,11.05
2016-05-03,10.73534,10.74
2016-05-04,10.7673,10.79
2016-05-05,10.90004,10.9
2016-05-06,10.98359,10.96
2016-05-09,10.67977,10.68
2016-05-10,10.98938,10.99
2016-05-11,11.38719,11.34
2016-05-12,11.49328,11.45
2016-05-13,11.35998,11.37
2016-05-16,11.72792,11.76
2016-05-17,11.86593,11.92
2016-05-18,11.81499,11.7
2016-05-19,11.78827,11.79
2016-05-20,11.72522,11.75
2016-05-23,11.64505,11.66
2016-05-24,11.77577,11.82
2016-05-25,12.00337,12.03
2016-05-26,11.98392,11.95
2016-05-27,11.94751,11.98
2016-05-30,11.94751,11.98
2016-05-31,11.89148,11.87
2016-06-01,11.86962,11.93
2016-06-02,11.90834,11.86
2016-06-03,11.77507,11.82
2016-06-06,12.034,12.04
2016-06-07,12.1962,12.22
2016-06-08,12.40886,12.43
2016-06-09,12.25307,12.25
2016-06-10,11.89322,11.87
2016-06-13,11.8448,11.76
2016-06-14,11.73473,11.73
2016-06-15,11.60072,11.47
2016-06-16,11.17968,11.14
2016-06-17,11.61495,11.66
2016-06-20,11.94962,11.91
2016-06-21,11.92325,11.89
2016-06-22,11.75097,11.74
2016-06-23,11.98531,11.98
2016-06-24,11.39447,11.4
2016-06-27,11.08097,11.19
2016-06-28,11.44446,11.47
2016-06-29,11.92992,11.81
2016-06-30,11.55913,11.57
2016-07-01,11.7169,11.78
2016-07-04,11.7169,11.78
2016-07-05,11.14499,11.18
2016-07-06,11.34348,11.33
2016-07-07,10.79678,10.79
2016-07-08,10.8616,10.83
2016-07-11,10.71618,10.65
2016-07-12,11.19836,11.19
2016-07-13,10.69685,10.75
2016-07-14,10.92748,10.87
2016-07-15,10.98156,10.99
2016-07-18,10.81422,10.82
2016-07-19,10.69881,10.7
2016-07-20,10.76937,10.73
2016-07-21,10.5339,10.49
2016-07-22,10.40202,10.42
2016-07-25,10.15231,10.13
2016-07-26,10.10283,10.08
2016-07-27,9.86737,9.9
2016-07-28,9.68371,9.67
2016-07-29,9.79177,9.76
2016-08-01,9.42924,9.41
2016-08-02,9.29976,9.33
2016-08-03,9.6104,9.69
2016-08-04,9.86926,9.84
2016-08-05,9.8386,9.86
2016-08-08,10.12557,10.1
2016-08-09,10.06596,10.07
2016-08-10,9.82045,9.77
2016-08-11,10.2318,10.21
2016-08-12,10.45112,10.5
2016-08-15,10.73311,10.76
2016-08-16,10.92274,10.92
2016-08-17,10.99206,10.99
2016-08-18,11.30887,11.3
2016-08-19,11.35966,11.34
2016-08-22,10.96618,10.97
2016-08-23,11.12572,11.0908
2016-08-24,10.81802,10.82
2016-08-25,10.94751,10.95
2016-08-26,11.01915,10.95
2016-08-29,10.8663,10.85
2016-08-30,10.72052,10.73
2016-08-31,10.33881,10.36
2016-09-01,9.98255,10.06
2016-09-02,10.27859,10.24
2016-09-05,10.27859,10.24
2016-09-06,10.36856,10.39
2016-09-07,10.5237,10.52
2016-09-08,11.00901,10.96
2016-09-09,10.60002,10.59
2016-09-12,10.68612,10.64
2016-09-13,10.37578,10.37
2016-09-14,10.07228,10.09
2016-09-15,10.15664,10.14
2016-09-16,9.95124,10.0
2016-09-19,10.00582,9.98
2016-09-20,10.0491,10.07
2016-09-21,10.34333,10.4
2016-09-22,10.56683,10.53
2016-09-23,10.147,10.19
2016-09-26,10.47759,10.43
2016-09-27,10.19011,10.15
2016-09-28,10.73296,10.65
2016-09-29,10.91083,10.87
2016-09-30,11.00427,10.93
2016-10-03,11.13409,11.1
2016-10-04,11.10667,11.09
2016-10-05,11.36665,11.35
2016-10-06,11.50571,11.51
2016-10-07,11.36364,11.33
2016-10-10,11.70679,11.67
2016-10-11,11.56776,11.58
2016-10-12,11.43189,11.43
2016-10-13,11.47924,11.49
2016-10-14,11.45657,11.44
2016-10-17,11.37058,11.37
2016-10-18,11.42697,11.45
2016-10-19,11.69781,11.66
2016-10-20,11.42909,11.43
2016-10-21,11.47869,11.48
2016-10-24,11.404,11.43
2016-10-25,11.27752,11.24
2016-10-26,11.10137,11.09
2016-10-27,11.22321,11.21
2016-10-28,10.9929,11.01
2016-10-31,10.57739,10.53
2016-11-01,10.53448,10.57
2016-11-02,10.23423,10.28
2016-11-03,10.08067,10.08
2016-11-04,9.94742,9.98
2016-11-07,10.13233,10.16
2016-11-08,10.15493,10.1
2016-11-09,10.22397,10.28
2016-11-10,10.09229,10.04
2016-11-11,9.82264,9.77
2016-11-14,9.77573,9.87
2016-11-15,10.32076,10.34
2016-11-16,10.25617,10.23
2016-11-17,10.22941,10.13
